"run","patientgetCOVIDVaccineStatusisUnvaccinated","patientgetCOVIDVaccineStatusispartiallyvaccinated","patientgetCOVIDVaccineStatusisfullyvaccinated","patientgetFluAVaccineStatusisUnvaccinated","patientgetFluAVaccineStatusispartiallyvaccinated","patientgetFluAVaccineStatusisfullyvaccinated","patientgetFluBVaccineStatusisUnvaccinated","patientgetFluBVaccineStatusispartiallyvaccinated","patientgetFluBVaccineStatusisfullyvaccinated","patientgetCOVIDInfectionStatusisSymptomatic","patientgetCOVIDInfectionStatusisAsymptomatic","patientgetCOVIDInfectionStatusisSusceptible","patientgetFluAInfectionStatusisSymptomatic","patientgetFluAInfectionStatusisAsymptomatic","patientgetFluAInfectionStatusisSusceptible","patientgetFluBInfectionStatusisSymptomatic","patientgetFluBInfectionStatusisAsymptomatic","patientgetFluBInfectionStatusisSusceptible","patientgetRecentCovidContactisYes","patientgetRecentCovidContactisNo","patientgetImmunocompromisedisYes","patientgetImmunocompromisedisNo","patientgetLFDCOVIDResultisPositive","patientgetLFDCOVIDResultisNegative","patientgetLFDFluAResultisPositive","patientgetLFDFluAResultisNegative","patientgetLFDFluBResultisPositive","patientgetLFDFluBResultisNegative","patientgetLIATCOVIDResultisPositive","patientgetLIATCOVIDResultisNegative","patientgetLIATFluAResultisPositive","patientgetLIATFluAResultisNegative","patientgetLIATFluBResultisPositive","patientgetLIATFluBResultisNegative","patientgetLabPCRCOVIDResultisPositive","patientgetLabPCRCOVIDResultisNegative","patientgetLabPCRFluAResultisPositive","patientgetLabPCRFluAResultisNegative","patientgetLabPCRFluBResultisPositive","patientgetLabPCRFluBResultisNegative","patientgetCepheidCOVIDResultisPositive","patientgetCepheidCOVIDResultisNegative","patientgetCepheidFluAResultisPositive","patientgetCepheidFluAResultisNegative","patientgetCepheidFluBResultisPositive","patientgetCepheidFluBResultisNegative","patientgetPHEThreeAltCOVIDResultisPositive","patientgetPHEThreeAltCOVIDResultisNegative"
59,114.0,23.0,1129.0,1020.0,0.0,246.0,1020.0,0.0,246.0,0.0,121.0,1145.0,36.0,23.0,1207.0,36.0,23.0,1207.0,59.0,1207.0,80.0,1741.0,103.0,1161.0,107.0,1157.0,83.0,1181.0,27.0,120.0,18.0,129.0,18.0,129.0,20.0,292.0,11.0,301.0,11.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,1025.0
60,140.0,28.0,1142.0,1022.0,0.0,288.0,1022.0,0.0,288.0,0.0,144.0,1166.0,46.0,28.0,1236.0,46.0,28.0,1236.0,74.0,1236.0,101.0,1763.0,108.0,1201.0,120.0,1189.0,92.0,1217.0,39.0,111.0,24.0,126.0,24.0,126.0,32.0,280.0,16.0,296.0,16.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,1043.0
61,121.0,23.0,1080.0,976.0,0.0,248.0,976.0,0.0,248.0,0.0,124.0,1100.0,36.0,23.0,1165.0,36.0,23.0,1165.0,59.0,1165.0,86.0,1688.0,102.0,1121.0,110.0,1113.0,80.0,1143.0,33.0,54.0,16.0,71.0,16.0,71.0,26.0,252.0,14.0,264.0,14.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,1058.0
62,135.0,20.0,1113.0,996.0,0.0,272.0,996.0,0.0,272.0,0.0,122.0,1146.0,41.0,20.0,1207.0,41.0,20.0,1207.0,61.0,1207.0,88.0,1741.0,97.0,1170.0,117.0,1150.0,77.0,1190.0,39.0,59.0,14.0,84.0,14.0,84.0,28.0,279.0,11.0,296.0,11.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,1102.0
63,137.0,18.0,1186.0,1070.0,0.0,271.0,1070.0,0.0,271.0,0.0,125.0,1216.0,38.0,18.0,1285.0,38.0,18.0,1285.0,56.0,1285.0,90.0,1809.0,102.0,1238.0,110.0,1230.0,71.0,1269.0,41.0,75.0,22.0,94.0,22.0,94.0,30.0,275.0,18.0,287.0,18.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1159.0
64,128.0,23.0,1105.0,1008.0,0.0,248.0,1008.0,0.0,248.0,0.0,123.0,1133.0,36.0,23.0,1197.0,36.0,23.0,1197.0,59.0,1197.0,72.0,1734.0,85.0,1170.0,106.0,1149.0,83.0,1172.0,50.0,65.0,21.0,94.0,21.0,94.0,27.0,254.0,13.0,268.0,13.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,1082.0
65,109.0,27.0,1075.0,1006.0,0.0,205.0,1006.0,0.0,205.0,0.0,111.0,1100.0,27.0,27.0,1157.0,27.0,27.0,1157.0,54.0,1157.0,90.0,1668.0,88.0,1122.0,104.0,1106.0,70.0,1140.0,35.0,56.0,17.0,74.0,17.0,74.0,23.0,259.0,10.0,272.0,10.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,1054.0
66,137.0,33.0,1136.0,1023.0,0.0,283.0,1023.0,0.0,283.0,0.0,146.0,1160.0,31.0,33.0,1242.0,31.0,33.0,1242.0,64.0,1242.0,84.0,1776.0,119.0,1186.0,100.0,1205.0,87.0,1218.0,43.0,66.0,16.0,93.0,16.0,93.0,31.0,252.0,16.0,267.0,16.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,1110.0
67,133.0,25.0,1115.0,1017.0,0.0,256.0,1017.0,0.0,256.0,0.0,126.0,1147.0,43.0,25.0,1205.0,43.0,25.0,1205.0,68.0,1205.0,93.0,1726.0,103.0,1169.0,119.0,1153.0,80.0,1192.0,33.0,73.0,22.0,84.0,22.0,84.0,37.0,244.0,16.0,265.0,16.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,1087.0
68,103.0,24.0,1157.0,1057.0,0.0,227.0,1057.0,0.0,227.0,0.0,105.0,1179.0,29.0,24.0,1231.0,29.0,24.0,1231.0,53.0,1231.0,82.0,1749.0,87.0,1196.0,101.0,1182.0,70.0,1213.0,35.0,74.0,16.0,93.0,16.0,93.0,26.0,278.0,14.0,290.0,14.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,1121.0
69,120.0,27.0,1119.0,1039.0,0.0,227.0,1039.0,0.0,227.0,0.0,126.0,1140.0,30.0,27.0,1209.0,30.0,27.0,1209.0,57.0,1209.0,88.0,1731.0,105.0,1161.0,98.0,1168.0,82.0,1184.0,38.0,59.0,17.0,80.0,17.0,80.0,36.0,263.0,19.0,280.0,19.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,1101.0
70,128.0,35.0,1147.0,1049.0,0.0,261.0,1049.0,0.0,261.0,0.0,138.0,1172.0,41.0,35.0,1234.0,41.0,35.0,1234.0,76.0,1234.0,104.0,1739.0,111.0,1198.0,139.0,1170.0,94.0,1215.0,34.0,73.0,22.0,85.0,22.0,85.0,38.0,270.0,25.0,283.0,25.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,1108.0
71,121.0,20.0,1143.0,1042.0,0.0,242.0,1042.0,0.0,242.0,0.0,109.0,1175.0,35.0,20.0,1229.0,35.0,20.0,1229.0,55.0,1229.0,80.0,1751.0,98.0,1185.0,98.0,1185.0,82.0,1201.0,30.0,70.0,15.0,85.0,15.0,85.0,23.0,290.0,11.0,302.0,11.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,1122.0
72,127.0,26.0,1083.0,996.0,0.0,240.0,996.0,0.0,240.0,0.0,128.0,1108.0,28.0,26.0,1182.0,28.0,26.0,1182.0,54.0,1182.0,82.0,1714.0,89.0,1146.0,90.0,1145.0,84.0,1151.0,47.0,62.0,15.0,94.0,15.0,94.0,23.0,250.0,10.0,263.0,10.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,1052.0
73,136.0,29.0,1147.0,1053.0,0.0,259.0,1053.0,0.0,259.0,0.0,135.0,1177.0,39.0,29.0,1244.0,39.0,29.0,1244.0,68.0,1244.0,91.0,1780.0,107.0,1204.0,107.0,1204.0,85.0,1226.0,35.0,52.0,15.0,72.0,15.0,72.0,37.0,288.0,19.0,306.0,19.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,1132.0
74,127.0,21.0,1165.0,1059.0,0.0,254.0,1059.0,0.0,254.0,0.0,131.0,1182.0,46.0,21.0,1246.0,46.0,21.0,1246.0,67.0,1246.0,95.0,1759.0,103.0,1209.0,121.0,1191.0,81.0,1231.0,36.0,72.0,12.0,96.0,12.0,96.0,38.0,309.0,22.0,325.0,22.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,1125.0
75,129.0,26.0,1097.0,999.0,0.0,253.0,999.0,0.0,253.0,0.0,131.0,1121.0,31.0,26.0,1195.0,31.0,26.0,1195.0,57.0,1195.0,85.0,1722.0,97.0,1154.0,114.0,1137.0,83.0,1168.0,42.0,78.0,19.0,101.0,19.0,101.0,31.0,247.0,14.0,264.0,14.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,1063.0
76,129.0,30.0,1132.0,1029.0,0.0,262.0,1029.0,0.0,262.0,0.0,127.0,1164.0,31.0,30.0,1230.0,31.0,30.0,1230.0,61.0,1230.0,84.0,1770.0,94.0,1196.0,117.0,1173.0,73.0,1217.0,40.0,72.0,16.0,96.0,16.0,96.0,37.0,267.0,17.0,287.0,17.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,1097.0
77,133.0,26.0,1182.0,1095.0,0.0,246.0,1095.0,0.0,246.0,0.0,137.0,1204.0,41.0,26.0,1274.0,41.0,26.0,1274.0,67.0,1274.0,92.0,1800.0,118.0,1222.0,122.0,1218.0,84.0,1256.0,32.0,64.0,20.0,76.0,20.0,76.0,34.0,289.0,17.0,306.0,17.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,1158.0
78,128.0,19.0,1102.0,1003.0,0.0,246.0,1003.0,0.0,246.0,0.0,110.0,1139.0,43.0,19.0,1187.0,43.0,19.0,1187.0,62.0,1187.0,84.0,1719.0,99.0,1149.0,110.0,1138.0,80.0,1168.0,27.0,70.0,17.0,80.0,17.0,80.0,29.0,290.0,16.0,303.0,16.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,1086.0
79,119.0,19.0,1139.0,1033.0,0.0,244.0,1033.0,0.0,244.0,0.0,109.0,1168.0,37.0,19.0,1221.0,37.0,19.0,1221.0,56.0,1221.0,94.0,1737.0,93.0,1183.0,116.0,1160.0,71.0,1205.0,38.0,65.0,15.0,88.0,15.0,88.0,20.0,295.0,8.0,307.0,8.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,1123.0
80,146.0,26.0,1137.0,1013.0,0.0,296.0,1013.0,0.0,296.0,0.0,143.0,1166.0,38.0,26.0,1245.0,38.0,26.0,1245.0,64.0,1245.0,97.0,1763.0,122.0,1186.0,107.0,1201.0,79.0,1229.0,37.0,68.0,17.0,88.0,17.0,88.0,35.0,297.0,11.0,321.0,11.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1108.0
81,107.0,14.0,1186.0,1077.0,0.0,230.0,1077.0,0.0,230.0,0.0,105.0,1202.0,31.0,14.0,1262.0,31.0,14.0,1262.0,45.0,1262.0,81.0,1785.0,89.0,1217.0,104.0,1202.0,74.0,1232.0,33.0,46.0,14.0,65.0,14.0,65.0,26.0,309.0,8.0,327.0,8.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,1167.0
82,132.0,31.0,1184.0,1097.0,0.0,250.0,1097.0,0.0,250.0,0.0,129.0,1218.0,35.0,31.0,1281.0,35.0,31.0,1281.0,66.0,1281.0,96.0,1796.0,106.0,1239.0,119.0,1226.0,90.0,1255.0,29.0,59.0,16.0,72.0,16.0,72.0,34.0,296.0,18.0,312.0,18.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,1174.0
83,136.0,30.0,1091.0,995.0,0.0,262.0,995.0,0.0,262.0,0.0,134.0,1123.0,40.0,30.0,1187.0,40.0,30.0,1187.0,70.0,1187.0,103.0,1716.0,101.0,1154.0,117.0,1138.0,83.0,1172.0,47.0,52.0,26.0,73.0,26.0,73.0,25.0,280.0,12.0,293.0,12.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,1091.0
84,144.0,37.0,1142.0,1031.0,0.0,292.0,1031.0,0.0,292.0,0.0,147.0,1176.0,48.0,37.0,1238.0,48.0,37.0,1238.0,85.0,1238.0,116.0,1761.0,112.0,1210.0,125.0,1197.0,103.0,1219.0,46.0,48.0,22.0,72.0,22.0,72.0,30.0,290.0,18.0,302.0,18.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,1139.0
85,127.0,27.0,1103.0,1001.0,0.0,256.0,1001.0,0.0,256.0,0.0,130.0,1127.0,38.0,27.0,1192.0,38.0,27.0,1192.0,65.0,1192.0,91.0,1722.0,106.0,1151.0,118.0,1139.0,79.0,1178.0,35.0,41.0,17.0,59.0,17.0,59.0,26.0,270.0,15.0,281.0,15.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,1092.0
86,137.0,26.0,1089.0,1002.0,0.0,250.0,1002.0,0.0,250.0,0.0,139.0,1113.0,35.0,26.0,1191.0,35.0,26.0,1191.0,61.0,1191.0,85.0,1723.0,121.0,1129.0,109.0,1141.0,73.0,1177.0,33.0,43.0,9.0,67.0,9.0,67.0,30.0,248.0,14.0,264.0,14.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,1088.0
87,104.0,21.0,1123.0,1009.0,0.0,239.0,1009.0,0.0,239.0,0.0,106.0,1142.0,34.0,21.0,1193.0,34.0,21.0,1193.0,55.0,1193.0,85.0,1724.0,92.0,1155.0,117.0,1130.0,75.0,1172.0,28.0,44.0,12.0,60.0,12.0,60.0,19.0,263.0,4.0,278.0,4.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,1114.0
88,134.0,22.0,1152.0,1060.0,0.0,248.0,1060.0,0.0,248.0,0.0,126.0,1182.0,25.0,22.0,1261.0,25.0,22.0,1261.0,47.0,1261.0,71.0,1794.0,93.0,1214.0,99.0,1208.0,73.0,1234.0,43.0,59.0,17.0,85.0,17.0,85.0,31.0,289.0,11.0,309.0,11.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,1134.0
89,131.0,32.0,1062.0,959.0,0.0,266.0,959.0,0.0,266.0,0.0,131.0,1094.0,32.0,32.0,1161.0,32.0,32.0,1161.0,64.0,1161.0,88.0,1695.0,107.0,1118.0,127.0,1098.0,78.0,1147.0,32.0,49.0,10.0,71.0,10.0,71.0,33.0,279.0,14.0,298.0,14.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,1052.0
90,122.0,22.0,1076.0,973.0,0.0,247.0,973.0,0.0,247.0,0.0,122.0,1098.0,42.0,22.0,1156.0,42.0,22.0,1156.0,64.0,1156.0,88.0,1685.0,107.0,1112.0,106.0,1113.0,91.0,1128.0,30.0,54.0,12.0,72.0,12.0,72.0,27.0,275.0,11.0,291.0,11.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,1059.0
91,133.0,25.0,1113.0,1018.0,0.0,253.0,1018.0,0.0,253.0,0.0,129.0,1142.0,43.0,25.0,1203.0,43.0,25.0,1203.0,68.0,1203.0,100.0,1714.0,101.0,1169.0,108.0,1162.0,90.0,1180.0,43.0,94.0,21.0,116.0,21.0,116.0,41.0,271.0,22.0,290.0,22.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,1062.0
92,123.0,32.0,1107.0,1017.0,0.0,245.0,1017.0,0.0,245.0,0.0,130.0,1132.0,29.0,32.0,1201.0,29.0,32.0,1201.0,61.0,1201.0,79.0,1741.0,104.0,1157.0,119.0,1142.0,88.0,1173.0,32.0,91.0,20.0,103.0,20.0,103.0,27.0,263.0,14.0,276.0,14.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,1046.0
93,127.0,20.0,1125.0,1011.0,0.0,261.0,1011.0,0.0,261.0,0.0,119.0,1153.0,39.0,20.0,1213.0,39.0,20.0,1213.0,59.0,1213.0,81.0,1739.0,104.0,1167.0,112.0,1159.0,76.0,1195.0,26.0,101.0,14.0,113.0,14.0,113.0,33.0,298.0,22.0,309.0,22.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,1064.0
94,124.0,31.0,1116.0,1020.0,0.0,251.0,1020.0,0.0,251.0,0.0,130.0,1141.0,36.0,31.0,1204.0,36.0,31.0,1204.0,67.0,1204.0,95.0,1737.0,95.0,1176.0,123.0,1148.0,87.0,1184.0,41.0,100.0,18.0,123.0,18.0,123.0,29.0,283.0,15.0,297.0,15.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,1050.0
95,104.0,23.0,1130.0,1040.0,0.0,217.0,1040.0,0.0,217.0,0.0,103.0,1154.0,32.0,23.0,1202.0,32.0,23.0,1202.0,55.0,1202.0,85.0,1718.0,89.0,1166.0,109.0,1146.0,77.0,1178.0,26.0,105.0,14.0,117.0,14.0,117.0,23.0,283.0,12.0,294.0,12.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,1060.0
96,106.0,27.0,1086.0,999.0,0.0,220.0,999.0,0.0,220.0,0.0,111.0,1108.0,28.0,27.0,1164.0,28.0,27.0,1164.0,55.0,1164.0,88.0,1688.0,80.0,1138.0,99.0,1119.0,70.0,1148.0,39.0,85.0,17.0,107.0,17.0,107.0,29.0,253.0,16.0,266.0,16.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,1032.0
97,130.0,27.0,1190.0,1078.0,0.0,269.0,1078.0,0.0,269.0,0.0,128.0,1219.0,40.0,27.0,1280.0,40.0,27.0,1280.0,67.0,1280.0,88.0,1817.0,102.0,1243.0,102.0,1243.0,86.0,1259.0,35.0,97.0,21.0,111.0,21.0,111.0,32.0,285.0,16.0,301.0,16.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,1132.0
98,133.0,17.0,1108.0,1017.0,0.0,241.0,1017.0,0.0,241.0,0.0,120.0,1138.0,40.0,17.0,1201.0,40.0,17.0,1201.0,57.0,1201.0,91.0,1718.0,97.0,1159.0,124.0,1132.0,74.0,1182.0,31.0,84.0,15.0,100.0,15.0,100.0,39.0,288.0,18.0,309.0,18.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,1063.0
99,130.0,27.0,1193.0,1084.0,0.0,266.0,1084.0,0.0,266.0,0.0,131.0,1219.0,38.0,27.0,1285.0,38.0,27.0,1285.0,65.0,1285.0,100.0,1805.0,102.0,1247.0,114.0,1235.0,82.0,1267.0,42.0,92.0,20.0,114.0,20.0,114.0,33.0,288.0,11.0,310.0,11.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,1144.0
100,105.0,24.0,1130.0,1042.0,0.0,217.0,1042.0,0.0,217.0,0.0,107.0,1152.0,36.0,24.0,1199.0,36.0,24.0,1199.0,60.0,1199.0,86.0,1734.0,75.0,1183.0,117.0,1141.0,71.0,1187.0,39.0,91.0,22.0,108.0,22.0,108.0,20.0,259.0,11.0,268.0,11.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,1067.0
